No,Name,Location,Year,KmDriven,FuelType,Transmission,OwnerType,CC,Seats,Price
1824,Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,Diesel,Manual,First,1956,5,1745000
1825,Maruti Vitara Brezza VDi Option,Coimbatore,2017,71256,Diesel,Manual,First,1248,5,958000
1826,Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,Petrol,Manual,First,1798,5,622000
1827,Mahindra XUV500 W8 2WD,Kolkata,2013,87284,Diesel,Manual,First,2179,7,780000
1828,BMW X1 xDrive 20d xLine,Mumbai,2016,7000,Diesel,Automatic,First,1995,5,2775000
1829,Hyundai i20 Magna 1.4 CRDi,Pune,2015,29000,Diesel,Manual,Second,1396,5,700000
1830,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,2987,5,6487000
1831,Chevrolet Cruze LTZ,Bangalore,2013,64000,Diesel,Manual,Second,1998,5,650000
1832,Hyundai i20 1.2 Magna,Jaipur,2011,82000,Petrol,Manual,Second,1197,5,270000
1833,Honda Brio S MT,Mumbai,2012,70000,Petrol,Manual,Second,1198,5,250000
1834,Nissan Evalia 2013 XL,Hyderabad,2013,166194,Diesel,Manual,First,1461,7,390000
1835,Volkswagen Polo Petrol Trendline 1.2L,Delhi,2015,58000,Petrol,Manual,First,1198,5,395000
1836,Hyundai i10 Sportz 1.2,Chennai,2010,77000,Petrol,Manual,Second,1197,5,210000
1837,Chevrolet Cruze LTZ AT,Pune,2009,73204,Diesel,Automatic,Third,1991,4,350000
1838,Hyundai i10 Era,Hyderabad,2007,70000,Petrol,Manual,Second,1086,5,200000
1839,Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,First,1248,7,535000
1840,Honda Amaze S i-Dtech,Delhi,2013,90000,Diesel,Manual,First,1498,5,380000
1841,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,Petrol,Automatic,First,1595,5,1725000
1842,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,Petrol,Manual,First,1197,5,553000
1843,Hyundai i10 Sportz 1.2,Pune,2009,68000,Petrol,Manual,Third,1197,5,195000
1844,Maruti Swift DDiS ZDI Plus,Hyderabad,2017,2000,Diesel,Manual,First,1248,5,820000
1845,Honda City 1.3 EXI,Pune,1999,140000,Petrol,Manual,First,1343,5,90000
1846,Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,2013,255000,Diesel,Manual,Third,2494,7,650000
1847,Mini Cooper Countryman D High,Coimbatore,2014,45535,Diesel,Automatic,First,1998,5,1941000
1848,Fiat Linea T-Jet Active,Coimbatore,2016,39228,Petrol,Manual,First,1368,5,658000
1849,Chevrolet Aveo 1.4 LT,Mumbai,2011,57000,Petrol,Manual,Second,1399,5,210000
1850,Hyundai i10 Era 1.1,Chennai,2008,85445,Petrol,Manual,Second,1086,5,200000
1851,Hyundai Xcent 1.1 CRDi Base,Delhi,2015,54000,Diesel,Manual,First,1120,5,370000
1852,Maruti Celerio VXI AT,Mumbai,2014,53000,Petrol,Automatic,First,998,5,380000
1853,Hyundai i10 Sportz,Jaipur,2014,60000,Petrol,Manual,First,1197,5,325000
1854,Renault Duster 85PS Diesel RxL,Coimbatore,2015,65668,Diesel,Manual,First,1461,5,553000
1855,BMW 3 Series 320d,Ahmedabad,2011,100000,Diesel,Automatic,Second,1995,5,1090000
1856,Hyundai Grand i10 Sportz,Kolkata,2018,1800,Petrol,Manual,First,1197,5,510000
1857,Hyundai Santro DX,Hyderabad,2007,96000,Petrol,Manual,Second,999,5,220000
1858,Chevrolet Spark 1.0 LS,Pune,2009,44200,Petrol,Manual,Second,995,5,160000
1859,Honda City i VTEC VX Option,Ahmedabad,2018,14000,Petrol,Manual,First,1497,5,1125000
1860,Volkswagen Vento Diesel Highline,Chennai,2013,720000,Diesel,Manual,First,1598,5,590000
1861,Toyota Fortuner 4x2 4 Speed AT,Delhi,2012,73000,Diesel,Automatic,First,2982,7,1440000
1862,Honda City 1.5 S MT,Delhi,2011,68000,Petrol,Manual,First,1497,5,360000
1863,BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2017,19543,Diesel,Automatic,First,1995,5,4050000
1864,Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,Diesel,Automatic,Second,1968,5,3895000
1865,Maruti Ritz LDi,Delhi,2014,32805,Diesel,Manual,First,1248,5,360000
1866,Volkswagen Vento 1.5 TDI Highline AT,Kochi,2016,44782,Diesel,Automatic,First,1498,5,712000
1867,Honda City i DTEC SV,Kochi,2016,55700,Diesel,Manual,First,1498,5,752000
1868,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,60000,Diesel,Automatic,Second,1968,5,1035000
1869,Skoda Rapid 1.6 MPI Elegance,Hyderabad,2014,56000,Petrol,Manual,First,1598,5,700000
1870,Toyota Fortuner 3.0 Diesel,Delhi,2011,60000,Diesel,Manual,First,2982,7,1085000
1871,Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,78563,Diesel,Manual,First,1991,5,235000
1872,Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,Petrol,Manual,First,1196,7,290000
1873,Maruti Ciaz ZXi,Delhi,2017,17000,Petrol,Manual,First,1373,5,765000
1874,Maruti Ciaz VDi Plus SHVS,Delhi,2016,66000,Diesel,Manual,First,1248,5,640000
1875,Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,2014,102418,Diesel,Manual,First,2494,7,1010000
1876,Maruti Swift Dzire VXI,Kolkata,2014,48800,Petrol,Manual,First,1197,5,425000
1877,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,Diesel,Automatic,First,2755,7,1965000
1878,Tata Indica V2 eLX,Pune,2017,8200,Diesel,Manual,First,1396,5,440000
1879,Hyundai i20 Magna,Jaipur,2012,100000,Petrol,Manual,First,1197,5,325000
1880,Ford Fiesta 1.4 Duratorq ZXI,Pune,2012,78000,Diesel,Manual,First,1399,5,280000
1881,Chevrolet Enjoy 1.3 TCDi LS 8,Kolkata,2015,50000,Diesel,Manual,First,1248,8,430000
1882,Ford Fiesta 1.4 Duratorq EXI,Chennai,2006,89327,Diesel,Manual,Third,1399,5,155000
1883,Honda CR-V 2.4 MT,Chennai,2007,98000,Petrol,Manual,Second,2354,5,470000
1884,Honda Jazz 1.2 VX i VTEC,Kochi,2017,24700,Petrol,Manual,First,1199,5,707000
1885,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,Diesel,Automatic,First,2987,7,7900000
1886,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,Petrol,Manual,First,1197,5,575000
1887,Maruti Ritz VXi,Mumbai,2012,29000,Petrol,Manual,First,1197,5,325000
1888,Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2017,22440,Diesel,Automatic,First,1498,5,889000
1889,Honda City i VTEC SV,Mumbai,2015,73070,Petrol,Manual,First,1497,5,590000
1890,Honda Jazz 1.2 S i VTEC,Kolkata,2016,21771,Petrol,Manual,First,1199,5,495000
1891,Maruti Swift Ldi BSIV,Delhi,2014,62000,Diesel,Manual,First,1248,5,375000
1892,Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2017,37024,Diesel,Automatic,First,1582,5,1097000
1893,Audi A7 2011-2015 3.0 TDI Quattro,Kochi,2014,60336,Diesel,Automatic,Second,2967,5,2494000
1894,Hyundai EON D Lite Plus,Kolkata,2014,26008,Petrol,Manual,First,814,5,197000
1895,Ford Figo Diesel EXI,Jaipur,2010,90000,Diesel,Manual,Second,1399,5,140000
1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,First,1198,5,727000
1897,Renault Scala Diesel RxL,Kolkata,2013,40000,Diesel,Manual,First,1461,5,400000
1898,Honda Jazz 1.2 V i VTEC,Kolkata,2015,45000,Petrol,Manual,First,1199,5,475000
1899,Hyundai i20 1.2 Sportz,Delhi,2015,42000,Petrol,Manual,First,1197,5,510000
1900,Audi A4 3.0 TDI Quattro Premium,Coimbatore,2012,46913,Diesel,Automatic,First,2967,5,1611000
1901,Mahindra Ssangyong Rexton RX7,Delhi,2014,62000,Diesel,Automatic,First,2696,7,1055000
1902,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,Diesel,Automatic,First,2755,7,3000000
1903,Skoda Octavia Classic 1.9 TDI MT,Kolkata,2002,69000,Diesel,Manual,First,1896,5,160000
1904,Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,41367,Diesel,Automatic,First,2148,5,1849000
1905,Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,Petrol,Manual,First,1373,5,996000
1906,Maruti Swift ZDi,Hyderabad,2013,99595,Diesel,Manual,Second,1248,5,475000
1907,Toyota Qualis FS B3,Bangalore,2002,63000,Diesel,Manual,Third,2446,10,365000
1908,BMW 5 Series 2007-2010 525d Sedan,Delhi,2012,49000,Diesel,Automatic,Second,2495,5,1550000
1909,Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,2013,48272,Diesel,Manual,First,2835,6,1182000
1910,Toyota Corolla H2,Delhi,2008,63000,Petrol,Manual,First,1794,5,205000
1912,Maruti Omni E MPI STD BS IV,Mumbai,2013,11734,Petrol,Manual,First,796,8,225000
1913,Audi A6 2011-2015 2.0 TDI,Kochi,2014,62012,Diesel,Automatic,First,1968,5,2012000
1915,Honda Jazz 1.5 S i DTEC,Coimbatore,2016,45449,Diesel,Manual,First,1498,5,748000
1916,Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,85000,Petrol,Automatic,Second,1796,5,550000
1917,Honda City 1.5 EXI,Jaipur,2005,88000,Petrol,Manual,Second,1493,,170000
1918,Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,First,1968,5,1319000
1919,Maruti Swift Dzire VXI,Mumbai,2012,88000,Petrol,Manual,First,1197,5,385000
1920,Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,First,1248,5,575000
1921,Mahindra XUV500 W8 4WD,Pune,2014,81000,Diesel,Manual,First,2179,7,900000
1922,Chevrolet Beat LT,Kochi,2012,83381,Petrol,Manual,First,1199,5,221000
1923,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,Diesel,Manual,First,1498,5,809000
1924,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,27313,Diesel,Automatic,First,2993,5,4863000
1925,Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,42747,Diesel,Automatic,Second,1968,5,3947000
1926,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,Second,1995,5,2224000
1927,Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,First,1197,5,260000
1928,Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,55100,Diesel,Automatic,First,1582,5,1200000
1929,Audi A4 2.0 TDI 177  Premium Plus,Chennai,2014,70000,Diesel,Automatic,First,1968,5,1800000
1930,Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,2007,55000,Petrol,Automatic,Third,3498,5,999000
1931,Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,First,1197,5,245000
1932,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,First,1498,5,899000
1933,Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,First,1598,5,315000
1934,Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,First,1248,5,820000
1935,Mahindra Scorpio 1.99 S10,Ahmedabad,2016,98000,Diesel,Manual,First,1997,7,1150000
1936,Hyundai i20 Asta 1.4 CRDi,Coimbatore,2016,44487,Diesel,Manual,First,1396,5,730000
1937,Maruti Alto LXi,Chennai,2008,65000,Petrol,Manual,First,796,5,159000
1938,Hyundai i10 Magna,Delhi,2015,34951,Petrol,Manual,Second,1197,5,315000
1939,Mahindra Scorpio S6 7 Seater,Kolkata,2015,52373,Diesel,Manual,Second,2179,7,850000
1940,Skoda Fabia 1.2L Diesel Classic,Hyderabad,2010,66285,Diesel,Manual,First,1199,5,300000
1941,BMW X5 xDrive 30d,Mumbai,2012,66000,Diesel,Automatic,First,2993,5,2100000
1942,Honda Jazz 1.5 S i DTEC,Hyderabad,2016,43000,Diesel,Manual,First,1498,5,775000
1943,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,45200,Diesel,Automatic,First,2148,5,2300000
1944,Mahindra XUV500 AT W10 FWD,Mumbai,2016,41000,Diesel,Automatic,First,2179,7,1375000
1945,Honda City i VTEC CVT SV,Kochi,2017,39430,Petrol,Automatic,First,1497,5,829000
1946,Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,First,1248,5,579000
1947,Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2017,32324,Diesel,Automatic,First,2143,5,3050000
1948,Honda City 1.5 S MT,Mumbai,2011,49999,Petrol,Manual,First,1497,5,380000
1949,Tata Sumo EX,Bangalore,2014,66000,Diesel,Manual,First,2956,7,445000
1950,Hyundai i20 Magna,Delhi,2012,54000,Petrol,Manual,First,1197,5,330000
1951,Fiat Linea 1.3 Dynamic,Jaipur,2009,80000,Diesel,Manual,Second,1248,5,175000
1952,Honda Civic 2006-2010 1.8 V AT,Bangalore,2011,72000,Petrol,Automatic,Second,1799,5,550000
1953,Hyundai Creta 1.6 SX Plus Diesel,Pune,2017,44865,Diesel,Manual,First,1582,5,1335000
1954,Audi A3 35 TDI Technology,Delhi,2017,22000,Diesel,Automatic,Second,1968,5,2250000
1955,Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Petrol,Manual,Second,1591,5,525000
1956,Hyundai i20 1.4 CRDi Magna,Hyderabad,2011,75000,Diesel,Manual,First,1396,5,375000
1957,Honda Mobilio S i DTEC,Kochi,2015,50624,Diesel,Manual,First,1498,7,632000
1958,Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,2018,75000,Diesel,Automatic,First,1582,5,775000
1959,Ford Fiesta 1.6 ZXI Duratec,Chennai,2006,87000,Petrol,Manual,Second,1596,5,137000
1960,Hyundai i10 Sportz 1.2,Mumbai,2010,62000,Petrol,Manual,First,1197,5,210000
1961,Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,First,1248,5,930000
1962,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2015,70000,Diesel,Manual,First,2494,7,1200000
1963,Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,Diesel,Automatic,First,2143,5,2350000
1964,Maruti Alto LXi BSIII,Hyderabad,2006,71993,Petrol,Manual,First,796,5,180000
1965,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,2013,62000,Diesel,Automatic,Second,2143,5,1250000
1966,Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,First,1248,5,474000
1967,Hyundai Grand i10 Sportz,Kochi,2016,26038,Petrol,Manual,First,1197,5,543000
1968,Toyota Fortuner 4x4 AT,Kochi,2018,37713,Diesel,Automatic,Second,2982,7,3162000
1969,Toyota Innova 2.0 GX 8 STR,Kolkata,2011,78088,Petrol,Manual,First,1998,8,630000
1970,Ford EcoSport 1.5 TDCi Titanium,Kochi,2017,30453,Diesel,Manual,First,1498,5,845000
1971,Ford Figo 1.2P Titanium MT,Pune,2016,54000,Petrol,Manual,First,1196,5,500000
1972,Toyota Fortuner 3.0 Diesel,Chennai,2011,190000,Diesel,Manual,First,2982,7,1300000
1973,Maruti Swift Dzire VXI,Hyderabad,2012,65097,Petrol,Manual,First,1197,5,470000
1974,BMW 7 Series 740Li,Coimbatore,2018,28060,Petrol,Automatic,First,2979,5,9367000
1975,Skoda Superb 1.8 TSI MT,Pune,2012,282000,Petrol,Manual,First,1798,5,330000
1976,Maruti Wagon R LXI Minor,Jaipur,2009,111000,Petrol,Manual,Second,1061,5,151000
1977,Renault Duster 110PS Diesel RxZ,Kochi,2013,63295,Diesel,Manual,First,1461,5,609000
1978,Maruti Ciaz VXi Plus,Mumbai,2015,35770,Petrol,Manual,First,1373,5,595000
1979,Hyundai Elantra CRDi SX,Hyderabad,2012,125928,Diesel,Manual,First,1582,5,900000
1980,Skoda Rapid 1.5 TDI AT Elegance,Kolkata,2015,45000,Diesel,Automatic,First,1498,5,425000
1981,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2013,21000,Diesel,Automatic,First,2143,5,2350000
1982,Honda Aord 2.4 A/T,Mumbai,2011,54774,Petrol,Automatic,First,2354,5,635000
1983,Maruti Celerio VXI,Chennai,2014,41123,Petrol,Manual,First,998,5,340000
1984,BMW 7 Series 740Li,Bangalore,2017,17465,Petrol,Automatic,First,2979,5,9300000
1985,BMW 3 Series 320d Sport,Chennai,2014,48000,Diesel,Automatic,First,1995,5,2160000
1986,Volkswagen Vento Diesel Trendline,Chennai,2011,173000,Diesel,Manual,First,1598,5,400000
1987,Maruti Swift Dzire Tour LDI,Pune,2018,12000,Diesel,Manual,First,1248,5,550000
1988,Land Rover Freelander 2 SE,Mumbai,2012,34000,Diesel,Automatic,First,2179,5,1925000
1989,Hyundai i20 1.4 CRDi Magna,Hyderabad,2012,71360,Diesel,Manual,First,1396,5,395000
1990,Maruti Dzire VDI,Mumbai,2012,74000,Diesel,Manual,Second,1248,5,425000
1991,Jeep Compass 2.0 Longitude,Kochi,2018,28937,Diesel,Manual,First,1956,5,1702000
1992,Maruti Ertiga VDI,Hyderabad,2012,82085,Diesel,Manual,First,1248,7,650000
1993,Ford Figo Petrol ZXI,Bangalore,2011,68465,Petrol,Manual,First,1196,5,295000
1994,Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,Diesel,Manual,First,1364,5,712000
1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,Diesel,Automatic,First,1248,5,1125000
1996,Honda City 1.5 S MT,Delhi,2009,65055,Petrol,Manual,First,1497,5,275000
1997,Mahindra Scorpio S10 4WD,Hyderabad,2015,120000,Diesel,Manual,First,2179,7,1200000
1998,Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,Petrol,Manual,First,1197,5,367000
1999,Mercedes-Benz E-Class 220 CDI,Pune,2001,121000,Diesel,Manual,First,2148,5,500000
2000,Mahindra Renault Logan 1.4 GLX Petrol,Pune,2008,2200,Petrol,Manual,First,1390,5,230000
2001,Skoda Octavia 1.9 TDI,Pune,2008,88123,Diesel,Manual,First,1896,5,220000
2002,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2014,79000,Diesel,Automatic,First,2987,7,4100000
2003,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,Diesel,Automatic,First,1995,5,2850000
2004,Volkswagen Vento 2013-2015 1.6 Comfortline,Mumbai,2015,23001,Petrol,Manual,First,1598,5,549000
2005,Audi A4 2.0 TDI,Ahmedabad,2013,82002,Diesel,Automatic,Second,1968,5,1750000
2006,Ford Ikon 1.4 TDCi DuraTorq,Bangalore,2009,75000,Diesel,Manual,First,1399,5,199000
2007,Hyundai Verna 1.6 CRDi EX MT,Kochi,2016,37451,Diesel,Manual,First,1582,5,664000
2008,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,Diesel,Manual,First,2393,7,1650000
2009,Hyundai Grand i10 Asta Option,Pune,2016,25000,Petrol,Manual,First,1197,5,500000
2010,Volkswagen Ameo 1.2 MPI Comfortline,Mumbai,2017,12000,Petrol,Manual,First,1198,5,540000
2011,Renault KWID RXT,Kolkata,2017,25000,Petrol,Manual,First,799,5,299000
2012,Honda City 1.5 S MT,Jaipur,2011,95936,Petrol,Manual,First,1497,5,410000
2013,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,Petrol,Automatic,First,1197,5,676000
2014,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Petrol,Manual,Second,999,5,550000
2015,Maruti Swift VDI BSIV,Coimbatore,2014,44282,Diesel,Manual,First,1248,5,599000
2016,Nissan Sunny 2011-2014 Diesel XV,Delhi,2012,70000,Diesel,Manual,First,1461,5,259000
2017,Jaguar XF 2.2 Litre Luxury,Mumbai,2013,31400,Diesel,Automatic,First,2179,5,2675000
2018,Maruti Ciaz ZDi SHVS,Pune,2016,50000,Diesel,Manual,First,1248,5,850000
2019,Audi Q5 2008-2012 2.0 TDI,Bangalore,2011,53000,Diesel,Automatic,First,1968,5,2300000
2020,Ford Figo Petrol ZXI,Pune,2014,21727,Petrol,Manual,First,1196,5,335000
2021,Hyundai Santa Fe 4x4 AT,Bangalore,2012,43000,Diesel,Automatic,Second,2199,7,1075000
2022,Mahindra Scorpio VLX 2WD AIRBAG BSIV,Kolkata,2013,75000,Diesel,Manual,First,2179,8,629000
2023,Renault Duster 110PS Diesel RxL,Bangalore,2014,73557,Diesel,Manual,First,1461,5,775000
2024,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,44555,Diesel,Automatic,First,1968,5,1350000
2025,Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,Petrol,Manual,First,1196,7,375000
2026,Mahindra Xylo E4,Mumbai,2011,76000,Diesel,Manual,Second,2498,7,375000
2027,Maruti Wagon R LXI,Jaipur,2006,101000,Petrol,Manual,Second,998,5,150000
2028,Maruti Wagon R LXI BSIII,Chennai,2005,66000,Petrol,Manual,First,1061,5,145000
2029,Maruti SX4 ZXI MT BSIV,Coimbatore,2013,84360,Petrol,Manual,First,1586,5,412000
2030,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,Diesel,Manual,First,2393,7,1711000
2031,Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015,100000,Diesel,Manual,Second,2494,7,1025000
2032,Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,66035,Diesel,Manual,First,1199,5,249000
2033,Toyota Etios G,Pune,2015,190000,Petrol,Manual,Second,1496,5,385000
2034,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,85670,Diesel,Manual,First,1498,5,625000
2035,Hyundai Grand i10 CRDi Magna,Hyderabad,2015,35000,Diesel,Manual,First,1120,5,488000
2036,Honda City i VTEC CVT SV,Mumbai,2016,8000,Petrol,Automatic,First,1497,5,945000
2037,Toyota Innova 2.5 G3,Hyderabad,2007,162000,Diesel,Manual,Second,2494,8,480000
2038,Hyundai EON Era Plus,Kolkata,2012,60000,Petrol,Manual,First,814,5,199000
2039,Hyundai i10 Magna 1.2,Hyderabad,2010,70600,Petrol,Manual,First,1197,5,280000
2040,Mercedes-Benz E-Class 2009-2013 E 200 CGI Elegance,Bangalore,2011,25000,Petrol,Automatic,Second,1796,5,2200000
2041,Mahindra Bolero SLE,Hyderabad,2012,75000,Diesel,Manual,First,2523,7,430000
2042,Skoda Laura Ambition 2.0 TDI CR AT,Coimbatore,2014,85071,Diesel,Automatic,First,1968,5,975000
2043,Maruti Swift ZXI,Ahmedabad,2015,40000,Petrol,Manual,First,1197,5,590000
2044,Audi A4 2.0 TDI,Delhi,2013,67000,Diesel,Automatic,First,1968,5,1450000
2045,Ford Fiesta 1.4 SXi TDCi ABS,Hyderabad,2009,55000,Diesel,Manual,Second,1399,5,240000
2046,Maruti SX4 Vxi BSIII,Mumbai,2008,62000,Petrol,Manual,Second,1586,5,211000
2047,Hyundai Grand i10 AT Asta,Coimbatore,2017,22526,Petrol,Automatic,First,1197,5,760000
2048,Maruti Ritz AT,Hyderabad,2012,57788,Petrol,Automatic,First,1197,5,360000
2049,Mahindra Scorpio 2.6 CRDe,Jaipur,2013,72000,Diesel,Manual,First,2179,8,600000
2050,Mahindra Scorpio S4 7 Seater,Mumbai,2014,83128,Diesel,Manual,First,2179,7,745000
2051,Maruti Alto LXi,Chennai,2011,75000,Petrol,Manual,First,796,5,210000
2052,Renault Duster 110PS Diesel RxZ,Ahmedabad,2013,58000,Diesel,Manual,Second,1461,5,520000
2053,Mahindra Jeep MM 550 PE,Hyderabad,2009,26000,Diesel,Manual,First,2498,6,699000
2054,Maruti Ignis 1.2 Alpha,Mumbai,2017,1000,Petrol,Manual,First,1197,5,636000
2055,Toyota Innova 2.5 ZX Diesel 7 Seater,Kochi,2015,59751,Diesel,Manual,First,2494,7,1162000
2056,BMW 7 Series 730Ld Eminence,Kochi,2015,29966,Diesel,Automatic,Second,2993,5,4360000
2057,Hyundai Sonata Embera 2.0L CRDi MT,Kolkata,2009,65000,Diesel,Manual,Second,1991,5,490000
2058,Renault Duster Adventure Edition,Kochi,2015,75863,Diesel,Manual,First,1461,5,670000
2060,Audi A4 2.0 TDI 177  Technology Edition,Bangalore,2014,24000,Diesel,Automatic,First,1968,5,2500000
2061,Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,Diesel,Manual,First,1956,5,1905000
2062,Hyundai Verna 1.4 VTVT,Kolkata,2015,33425,Petrol,Manual,First,1396,5,450000
2063,Honda Amaze VX i-Vtech,Pune,2013,47000,Petrol,Manual,First,1198,5,415000
2064,Hyundai Creta 1.6 CRDi SX Option,Chennai,2015,41000,Diesel,Manual,First,1582,5,1190000
2065,Hyundai i10 Magna 1.1,Delhi,2011,62000,Petrol,Manual,First,1086,5,210000
2066,Mahindra TUV 300 T8,Delhi,2016,47035,Diesel,Manual,First,1493,7,695000
2067,Maruti Swift Dzire VXi,Pune,2008,56230,Petrol,Manual,Second,1298,5,240000
2068,Hyundai Aent GLE 1,Chennai,2007,55000,Petrol,Manual,First,1495,5,265000
2069,Mahindra XUV500 W8 2WD,Jaipur,2014,70669,Diesel,Manual,First,2179,7,900000
2070,Maruti Alto K10 2010-2014 VXI,Pune,2012,69000,Petrol,Manual,First,998,5,210000
2071,Chevrolet Beat LT,Pune,2011,65000,Petrol,Manual,Second,1199,5,250000
2072,Audi A6 2.7 TDI,Mumbai,2009,30000,Diesel,Automatic,First,2698,5,895000
2073,Mini Cooper 5 DOOR D,Hyderabad,2017,2000,Diesel,Automatic,First,1496,5,3400000
2074,Maruti Swift 1.3 LXI,Pune,2011,24255,Petrol,Manual,First,,,315000
2075,Tata Zest Revotron 1.2T XMS,Chennai,2015,40000,Petrol,Manual,First,1193,5,400000
2076,Honda City i DTEC SV,Kolkata,2014,40000,Diesel,Manual,First,1498,5,445000
2077,Chevrolet Beat LT,Jaipur,2010,26000,Petrol,Manual,First,1199,5,150000
2078,Audi A4 2.0 TDI Multitronic,Jaipur,2011,105000,Diesel,Automatic,Second,1968,5,1450000
2079,Ford Aspire Titanium Plus Diesel,Kolkata,2015,2800,Diesel,Manual,First,1498,5,841000
2080,Hyundai Verna SX CRDi AT,Mumbai,2014,71000,Diesel,Automatic,Second,1582,5,545000
2081,Honda City i VTEC CVT VX,Mumbai,2015,32896,Petrol,Automatic,First,1497,5,890000
2082,Hyundai i10 Sportz 1.2,Hyderabad,2012,45000,Petrol,Manual,First,1197,5,365000
2083,BMW X3 xDrive20d Expedition,Bangalore,2015,65000,Diesel,Automatic,Second,1995,5,2900000
2084,Audi A4 2.0 TDI,Mumbai,2013,45200,Diesel,Automatic,First,1968,5,1350000
2085,Honda CR-V 2.4 AT,Hyderabad,2008,82167,Petrol,Automatic,First,2354,5,540000
2086,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,37429,Petrol,Manual,First,1197,5,589000
2087,Maruti Ciaz ZDi Plus SHVS,Hyderabad,2016,46000,Diesel,Manual,First,1248,5,845000
2088,Honda City i-VTEC V,Delhi,2011,67031,Petrol,Manual,First,1497,5,400000
2089,BMW 6 Series 640d Coupe,Mumbai,2013,30000,Diesel,Automatic,First,2993,4,4500000
2090,Maruti Celerio VXI AMT,Mumbai,2016,47691,Petrol,Automatic,First,998,5,394000
2091,Renault Koleos 2.0 Diesel,Jaipur,2011,32531,Diesel,Automatic,Second,1995,5,800000
